image_path,gt_label,anomaly_score
transistor-bent_lead-000,0,0.11057931929826736
transistor-bent_lead-001,0,0.13235770165920258
transistor-bent_lead-002,0,0.11386717855930328
transistor-bent_lead-003,0,0.11074008047580719
transistor-bent_lead-004,0,0.08749707043170929
transistor-bent_lead-005,0,0.09300476312637329
transistor-bent_lead-006,0,0.13018463551998138
transistor-bent_lead-007,0,0.1193433403968811
transistor-bent_lead-008,0,0.11953245103359222
transistor-bent_lead-009,0,0.09569345414638519
transistor-cut_lead-000,0,0.11949149519205093
transistor-cut_lead-001,0,0.11934502422809601
transistor-cut_lead-002,0,0.12393753975629807
transistor-cut_lead-003,0,0.12951034307479858
transistor-cut_lead-004,0,0.12617355585098267
transistor-cut_lead-005,0,0.1017320305109024
transistor-cut_lead-006,0,0.13064710795879364
transistor-cut_lead-007,0,0.09178001433610916
transistor-cut_lead-008,0,0.10705021023750305
transistor-cut_lead-009,0,0.1105872094631195
transistor-damaged_case-000,0,0.10902871936559677
transistor-damaged_case-001,0,0.11573231965303421
transistor-damaged_case-002,0,0.09584075957536697
transistor-damaged_case-003,0,0.12542054057121277
transistor-damaged_case-004,0,0.13982369005680084
transistor-damaged_case-005,0,0.1375475525856018
transistor-damaged_case-006,0,0.13357092440128326
transistor-damaged_case-007,0,0.1249890998005867
transistor-damaged_case-008,0,0.12742480635643005
transistor-damaged_case-009,0,0.12839220464229584
transistor-good-000,0,0.11773959547281265
transistor-good-001,0,0.10630792379379272
transistor-good-002,0,0.11964797973632812
transistor-good-003,0,0.1448894441127777
transistor-good-004,0,0.09233789891004562
transistor-good-005,0,0.09805435687303543
transistor-good-006,0,0.11923980712890625
transistor-good-007,0,0.11132430285215378
transistor-good-008,0,0.10343759506940842
transistor-good-009,0,0.12280238419771194
transistor-good-010,0,0.10510051995515823
transistor-good-011,0,0.10845429450273514
transistor-good-012,0,0.11692193150520325
transistor-good-013,0,0.12674468755722046
transistor-good-014,0,0.13210390508174896
transistor-good-015,0,0.13829034566879272
transistor-good-016,0,0.09089828282594681
transistor-good-017,0,0.09283454716205597
transistor-good-018,0,0.09488418698310852
transistor-good-019,0,0.10082315653562546
transistor-good-020,0,0.10789164155721664
transistor-good-021,0,0.11484768986701965
transistor-good-022,0,0.102930948138237
transistor-good-023,0,0.09082062542438507
transistor-good-024,0,0.09144766628742218
transistor-good-025,0,0.10519074648618698
transistor-good-026,0,0.10707675665616989
transistor-good-027,0,0.08430195599794388
transistor-good-028,0,0.11059251427650452
transistor-good-029,0,0.08892422169446945
transistor-good-030,0,0.10404185950756073
transistor-good-031,0,0.11643624305725098
transistor-good-032,0,0.10464522987604141
transistor-good-033,0,0.09755794703960419
transistor-good-034,0,0.0851428434252739
transistor-good-035,0,0.09908448159694672
transistor-good-036,0,0.11582893133163452
transistor-good-037,0,0.1791979968547821
transistor-good-038,0,0.0954006090760231
transistor-good-039,0,0.0973292887210846
transistor-good-040,0,0.136789008975029
transistor-good-041,0,0.12859199941158295
transistor-good-042,0,0.07756800949573517
transistor-good-043,0,0.08990141749382019
transistor-good-044,0,0.10261368006467819
transistor-good-045,0,0.10690979659557343
transistor-good-046,0,0.09867967665195465
transistor-good-047,0,0.09791674464941025
transistor-good-048,0,0.09508718550205231
transistor-good-049,0,0.10844933241605759
transistor-good-050,0,0.10973770916461945
transistor-good-051,0,0.1064714640378952
transistor-good-052,0,0.12408223003149033
transistor-good-053,0,0.08794344961643219
transistor-good-054,0,0.09108420461416245
transistor-good-055,0,0.1516907513141632
transistor-good-056,0,0.1032940149307251
transistor-good-057,0,0.09681569039821625
transistor-good-058,0,0.1010851189494133
transistor-good-059,0,0.1902838498353958
transistor-misplaced-000,0,0.14996621012687683
transistor-misplaced-001,0,0.12348654866218567
transistor-misplaced-002,0,0.10646235942840576
transistor-misplaced-003,0,0.11797048896551132
transistor-misplaced-004,0,0.14326994121074677
transistor-misplaced-005,0,0.1265963315963745
transistor-misplaced-006,0,0.11977983266115189
transistor-misplaced-007,0,0.13668213784694672
transistor-misplaced-008,0,0.1774258315563202
transistor-misplaced-009,0,0.1049347072839737
